Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.726,0.779,0.751,0.823,0.489
1,Bus,0.768,0.834,0.8,0.878,0.636
2,Car,0.816,0.876,0.845,0.927,0.693
3,Cng,0.817,0.826,0.822,0.901,0.641
4,Cycle,0.389,0.222,0.282,0.26,0.144
5,Mini-Truck,0.528,0.639,0.578,0.638,0.468
6,People,0.742,0.778,0.759,0.844,0.532
7,Rickshaw,0.766,0.857,0.809,0.895,0.614
8,Truck,0.421,0.399,0.41,0.417,0.332
Overall,Overall Metrics,0.664,0.69,0.673,0.731,
