Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.718,0.775,0.745,0.823,0.493
1,Bus,0.762,0.833,0.796,0.874,0.625
2,Car,0.808,0.88,0.843,0.926,0.686
3,Cng,0.82,0.824,0.822,0.902,0.641
4,Cycle,0.438,0.22,0.293,0.281,0.164
5,Mini-Truck,0.536,0.618,0.574,0.633,0.462
6,People,0.733,0.789,0.76,0.842,0.528
7,Rickshaw,0.759,0.857,0.805,0.893,0.61
8,Truck,0.441,0.356,0.394,0.397,0.31
Overall,Overall Metrics,0.668,0.684,0.67,0.73,
