Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.749,0.763,0.756,0.826,0.482
1,Bus,0.775,0.836,0.805,0.881,0.632
2,Car,0.818,0.874,0.845,0.925,0.683
3,Cng,0.832,0.821,0.826,0.905,0.639
4,Cycle,0.423,0.216,0.286,0.258,0.129
5,Mini-Truck,0.518,0.637,0.571,0.627,0.458
6,People,0.752,0.779,0.765,0.851,0.529
7,Rickshaw,0.766,0.848,0.805,0.896,0.61
8,Truck,0.426,0.39,0.407,0.4,0.31
Overall,Overall Metrics,0.673,0.685,0.674,0.73,
