Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.738,0.77,0.754,0.83,0.487
1,Bus,0.778,0.85,0.812,0.886,0.645
2,Car,0.821,0.875,0.847,0.927,0.694
3,Cng,0.824,0.831,0.827,0.904,0.644
4,Cycle,0.416,0.269,0.327,0.298,0.159
5,Mini-Truck,0.535,0.652,0.588,0.629,0.46
6,People,0.758,0.799,0.778,0.857,0.536
7,Rickshaw,0.777,0.847,0.81,0.898,0.616
8,Truck,0.432,0.415,0.423,0.428,0.341
Overall,Overall Metrics,0.675,0.701,0.685,0.74,
