Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.758,0.739,0.749,0.826,0.485
1,Bus,0.788,0.831,0.809,0.885,0.641
2,Car,0.829,0.87,0.849,0.927,0.69
3,Cng,0.835,0.812,0.823,0.904,0.638
4,Cycle,0.481,0.227,0.309,0.274,0.146
5,Mini-Truck,0.559,0.637,0.596,0.64,0.47
6,People,0.778,0.769,0.773,0.852,0.531
7,Rickshaw,0.786,0.841,0.813,0.895,0.612
8,Truck,0.47,0.356,0.405,0.423,0.329
Overall,Overall Metrics,0.698,0.676,0.681,0.736,
