Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.739,0.765,0.752,0.821,0.492
1,Bus,0.785,0.829,0.806,0.883,0.647
2,Car,0.83,0.869,0.849,0.928,0.699
3,Cng,0.832,0.82,0.826,0.903,0.648
4,Cycle,0.49,0.235,0.318,0.282,0.155
5,Mini-Truck,0.559,0.621,0.588,0.627,0.464
6,People,0.759,0.781,0.77,0.852,0.541
7,Rickshaw,0.788,0.844,0.815,0.897,0.621
8,Truck,0.471,0.422,0.445,0.448,0.346
Overall,Overall Metrics,0.695,0.687,0.685,0.738,
