Class ID,Class Name,Precision,Recall,F1-Score,AP50,AP
0,Bike,0.682,0.794,0.734,0.805,0.47
1,Bus,0.736,0.831,0.78,0.856,0.6
2,Car,0.783,0.886,0.831,0.919,0.667
3,Cng,0.804,0.823,0.813,0.895,0.624
4,Cycle,0.456,0.197,0.275,0.228,0.128
5,Mini-Truck,0.492,0.604,0.542,0.594,0.429
6,People,0.701,0.8,0.747,0.833,0.511
7,Rickshaw,0.732,0.869,0.795,0.888,0.595
8,Truck,0.34,0.277,0.305,0.301,0.233
Overall,Overall Metrics,0.636,0.676,0.647,0.702,
